cbow,size,window,iter,mean_distance
1,100,5,5,0.5374721670899819
1,100,5,10,0.5329612251205954
1,100,10,5,0.554476639645415
1,100,10,10,0.5483842417716134
1,100,15,5,0.5666682569868438
1,100,15,10,0.5604026953723467
1,100,20,5,0.5782188509022324
1,100,20,10,0.5691029827315378
1,100,25,5,0.5847975908958667
1,100,25,10,0.5821992895448899
1,100,30,5,0.5949998932676395
1,100,30,10,0.5920352476065049
1,150,5,5,0.5765704270414875
1,150,5,10,0.5795489773367329
1,150,10,5,0.5914457677028071
1,150,10,10,0.5934351940566125
1,150,15,5,0.6024242312550449
1,150,15,10,0.6042954427263628
1,150,20,5,0.6172281910499671
1,150,20,10,0.6189080758964876
1,150,25,5,0.626569918953865
1,150,25,10,0.630571898864388
1,150,30,5,0.6365277798738902
1,150,30,10,0.6402075617082345
1,200,5,5,0.60334461242481
1,200,5,10,0.6128551929962013
1,200,10,5,0.6174105463822193
1,200,10,10,0.6226191959153271
1,200,15,5,0.6315097561450768
1,200,15,10,0.6386404449254572
1,200,20,5,0.6438527893429155
1,200,20,10,0.6542285646334731
1,200,25,5,0.6516922886436207
1,200,25,10,0.6633961155266147
1,200,30,5,0.6655510821320276
1,200,30,10,0.6741327880075205
1,250,5,5,0.6172819588997646
1,250,5,10,0.6367299162560244
1,250,10,5,0.63390861847071
1,250,10,10,0.6521183054798136
1,250,15,5,0.647867496160659
1,250,15,10,0.6617262656137037
1,250,20,5,0.660175524029841
1,250,20,10,0.6780302299983721
1,250,25,5,0.6715045025650008
1,250,25,10,0.6903212091359114
1,250,30,5,0.6846815926704924
1,250,30,10,0.7000386953601484
1,300,5,5,0.6317547756331284
1,300,5,10,0.6576264950425524
1,300,10,5,0.6423218899050127
1,300,10,10,0.6705075758823804
1,300,15,5,0.6582076774953552
1,300,15,10,0.6836576689641604
1,300,20,5,0.6735627830701555
1,300,20,10,0.7018452554215174
1,300,25,5,0.684282469371054
1,300,25,10,0.7114121432015922
1,300,30,5,0.6958578522720454
1,300,30,10,0.7213936859220842
0,100,5,5,0.41716210400200937
0,100,5,10,0.41803891038813495
0,100,10,5,0.39350852398916575
0,100,10,10,0.4563555798044672
0,100,15,5,0.42776752807506074
0,100,15,10,0.4622114245452278
0,100,20,5,0.4365158825812715
0,100,20,10,0.46923252214768285
0,100,25,5,0.39447913659013933
0,100,25,10,0.4681080166664774
0,100,30,5,0.4537623894590183
0,100,30,10,0.4731639063412233
0,150,5,5,0.46649608882988236
0,150,5,10,0.4959005867188279
0,150,10,5,0.47459413102939213
0,150,10,10,0.5177572983379555
0,150,15,5,0.4853693517313296
0,150,15,10,0.5253392590840802
0,150,20,5,0.34007099330203006
0,150,20,10,0.5019055649378206
0,150,25,5,0.5025546035079597
0,150,25,10,0.5353244661959954
0,150,30,5,0.5085575298211639
0,150,30,10,0.5346826346036782
0,200,5,5,0.504382644022662
0,200,5,10,0.5548234580298368
0,200,10,5,0.4957242782458829
0,200,10,10,0.5619419613950848
0,200,15,5,0.5262914661846929
0,200,15,10,0.5680956939261325
0,200,20,5,0.377492879639534
0,200,20,10,0.5752921920366691
0,200,25,5,0.543897031144898
0,200,25,10,0.5785295356518787
0,200,30,5,0.5503586420063916
0,200,30,10,0.358356571533541
0,250,5,5,0.5315408359446766
0,250,5,10,0.5899193454199156
0,250,10,5,0.5452562584563794
0,250,10,10,0.5748153768633064
0,250,15,5,0.5578077889463507
0,250,15,10,0.6065997371663399
0,250,20,5,0.5690646893076018
0,250,20,10,0.4432196974619054
0,250,25,5,0.5749052177336659
0,250,25,10,0.6137754607998641
0,250,30,5,0.5805323788532337
0,250,30,10,0.6128644157330827
0,300,5,5,0.5524175851164503
0,300,5,10,0.619378130245228
0,300,10,5,0.5704889916928911
0,300,10,10,0.6299242903453588
0,300,15,5,0.5863205517536692
0,300,15,10,0.6370047956012804
0,300,20,5,0.5942697280883059
0,300,20,10,0.641959104540871
0,300,25,5,0.6014534001190708
0,300,25,10,0.640447628309078
0,300,30,5,0.6060374284630413
0,300,30,10,0.6378700863628796
